"Time (s) Run #1","Angle, Ch P2 (rad) Run #1","Angular Velocity, Ch P2 (rad/s) Run #1","State Run #1"
33.800,-5.639,5.356,
33.807,,,1.00
33.850,-5.301,7.398,
33.900,-4.874,8.734,
33.903,,,0.00
33.950,-4.400,9.315,
34.000,-3.921,9.294,
34.050,-3.460,8.954,
34.100,-3.025,8.587,
34.150,-2.609,8.419,
34.200,-2.196,8.577,
34.250,-1.764,9.064,
34.300,-1.297,9.749,
34.350,-0.789,10.357,
34.400,-0.247,10.472,
34.450,0.292,9.655,
34.500,0.763,7.660,
34.550,1.098,4.592,
34.600,1.246,0.874,
34.650,1.188,-2.916,
34.700,0.936,-6.194,
34.750,0.533,-8.503,
34.800,0.042,-9.619,
34.850,-0.470,-9.613,
34.865,,,1.00
34.900,-0.947,-8.796,
34.950,-1.362,-7.545,
34.960,,,0.00
35.000,-1.704,-6.189,
35.050,-1.976,-4.932,
35.100,-2.190,-3.875,
35.150,-2.356,-3.047,
35.200,-2.487,-2.435,
35.250,-2.593,-2.032,
35.300,-2.683,-1.843,
35.350,-2.769,-1.901,
35.400,-2.864,-2.251,
35.450,-2.983,-2.932,
35.500,-3.145,-3.969,
35.550,-3.368,-5.325,
35.600,-3.669,-6.864,
35.650,-4.056,-8.320,
35.700,-4.516,-9.310,
35.750,-5.017,-9.404,
35.800,-5.501,-8.304,
35.850,-5.892,-6.000,
35.900,-6.132,-2.759,
35.927,,,1.00
35.950,-6.186,0.979,
36.000,-6.035,4.744,
36.022,,,0.00
36.050,-5.696,8.053,
36.100,-5.199,10.488,
36.150,-4.606,11.844,
36.200,-3.979,12.231,
36.250,-3.363,12.048,
36.300,-2.772,11.771,
36.350,-2.198,11.760,
36.400,-1.613,12.127,
36.450,-0.994,12.661,
36.500,-0.338,12.844,
36.550,0.325,12.053,
36.600,0.920,9.886,
36.650,1.363,6.377,
36.700,1.590,1.979,
36.750,1.569,-2.670,
36.800,1.308,-6.891,
36.850,0.844,-10.090,
36.900,0.248,-11.901,
36.950,-0.397,-12.326,
36.987,,,1.00
37.000,-1.021,-11.739,
37.050,-1.585,-10.697,
37.079,,,0.00
37.100,-2.086,-9.702,
37.150,-2.542,-9.032,
37.200,-2.975,-8.728,
37.250,-3.405,-8.666,
37.300,-3.841,-8.624,
37.350,-4.276,-8.341,
37.400,-4.692,-7.587,
37.450,-5.056,-6.247,
37.500,-5.336,-4.383,
37.550,-5.506,-2.225,
37.600,-5.557,-0.079,
37.650,-5.503,1.770,
37.700,-5.363,3.121,
37.750,-5.169,3.880,
37.800,-4.954,4.058,
37.850,-4.747,3.759,
37.900,-4.568,3.142,
37.950,-4.428,2.382,
38.000,-4.331,1.634,
38.038,,,1.00
38.050,-4.269,1.005,
38.100,-4.236,0.555,
38.131,,,0.00
38.150,-4.221,0.288,
38.200,-4.213,0.188,
38.250,-4.207,0.209,
38.300,-4.194,0.293,
38.350,-4.177,0.372,
38.400,-4.155,0.382,
38.450,-4.134,0.288,
38.500,-4.122,0.052,
38.550,-4.123,-0.346,
38.600,-4.150,-0.911,
38.650,-4.210,-1.634,
38.700,-4.309,-2.466,
38.750,-4.455,-3.309,
38.800,-4.645,-3.995,
38.850,-4.866,-4.330,
38.900,-5.096,-4.147,
38.950,-5.303,-3.346,
39.000,-5.452,-1.948,
39.050,-5.513,-0.110,
39.092,,,1.00
39.100,-5.470,1.922,
39.150,-5.319,3.885,
39.185,,,0.00
39.200,-5.071,5.540,
39.250,-4.747,6.697,
39.300,-4.379,7.283,
39.350,-4.001,7.357,
39.400,-3.632,7.074,
39.450,-3.288,6.624,
39.500,-2.970,6.152,
39.550,-2.675,5.744,
39.600,-2.399,5.424,
39.650,-2.136,5.189,
39.700,-1.882,5.016,
39.750,-1.635,4.875,
39.800,-1.395,4.739,
39.850,-1.161,4.581,
39.900,-0.935,4.388,
39.950,-0.721,4.168,
40.000,-0.518,3.932,
40.050,-0.327,3.691,
40.100,-0.149,3.435,
40.149,,,1.00
40.150,0.017,3.142,
40.200,0.168,2.791,
40.243,,,0.00
40.250,0.298,2.361,
40.300,0.407,1.854,
40.350,0.487,1.283,
40.400,0.536,0.670,
40.450,0.554,0.052,
40.500,0.540,-0.550,
40.550,0.498,-1.126,
40.600,0.427,-1.670,
40.650,0.330,-2.178,
40.700,0.207,-2.628,
40.750,0.064,-3.016,
40.800,-0.096,-3.335,
40.850,-0.272,-3.587,
40.900,-0.457,-3.754,
40.950,-0.650,-3.817,
41.000,-0.844,-3.749,
41.050,-1.030,-3.519,
41.100,-1.202,-3.115,
41.150,-1.348,-2.529,
41.200,-1.461,-1.780,
41.212,,,1.00
41.250,-1.530,-0.890,
41.300,-1.554,0.126,
41.307,,,0.00
41.350,-1.522,1.272,
41.400,-1.431,2.571,
41.450,-1.271,4.000,
41.500,-1.034,5.487,
41.550,-0.719,6.870,
41.600,-0.336,7.896,
41.650,0.093,8.247,
41.700,0.523,7.634,
41.750,0.895,5.953,
41.800,1.151,3.346,
41.850,1.250,0.141,
41.900,1.172,-3.236,
41.950,0.917,-6.336,
42.000,0.514,-8.749,
42.050,0.008,-10.226,
42.100,-0.543,-10.770,
42.150,-1.093,-10.640,
42.200,-1.616,-10.215,
42.250,-2.111,-9.854,
42.272,,,1.00
42.300,-2.590,-9.765,
42.350,-3.076,-9.948,
42.366,,,0.00
42.400,-3.581,-10.200,
42.450,-4.104,-10.163,
42.500,-4.621,-9.472,
42.550,-5.085,-7.891,
42.600,-5.443,-5.435,
42.650,-5.650,-2.393,
42.700,-5.686,0.796,
42.750,-5.559,3.670,
42.800,-5.295,5.833,
42.850,-4.940,7.016,
42.900,-4.555,7.137,
42.950,-4.194,6.320,
43.000,-3.900,4.828,
43.050,-3.699,2.948,
43.100,-3.602,0.937,
43.150,-3.608,-1.005,
43.200,-3.710,-2.728,
43.250,-3.892,-4.115,
43.300,-4.136,-5.047,
43.328,,,1.00
43.350,-4.417,-5.398,
43.400,-4.700,-5.053,
43.422,,,0.00
43.450,-4.948,-3.995,
43.500,-5.121,-2.346,
43.550,-5.195,-0.340,
43.600,-5.157,1.712,
43.650,-5.014,3.513,
43.700,-4.788,4.817,
43.750,-4.510,5.493,
43.800,-4.216,5.519,
43.850,-3.938,4.964,
43.900,-3.704,3.943,
43.950,-3.533,2.576,
44.000,-3.438,0.969,
44.050,-3.431,-0.806,
44.100,-3.515,-2.670,
44.150,-3.698,-4.513,
44.200,-3.973,-6.142,
44.250,-4.328,-7.273,
44.300,-4.728,-7.608,
44.350,-5.124,-6.922,
44.380,,,1.00
44.400,-5.459,-5.184,
44.450,-5.674,-2.587,
44.475,,,0.00
44.500,-5.733,0.487,
44.550,-5.625,3.587,
44.600,-5.361,6.294,
44.650,-4.970,8.268,
44.700,-4.500,9.336,
44.750,-4.006,9.556,
44.800,-3.525,9.184,
44.850,-3.079,8.540,
44.900,-2.672,7.864,
44.950,-2.297,7.294,
